#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     2.0000000000E-02
   -4.3505833817E-04     0.0000000000E+00
    0.0000000000E+00    -1.0103500290E-05
    2.6695887397E-07     0.0000000000E+00
    0.0000000000E+00     8.2865532896E-09
   -3.3395011709E-10     0.0000000000E+00
    0.0000000000E+00    -1.6870772170E-11
    1.1075263720E-12     0.0000000000E+00
    0.0000000000E+00     8.3046080727E-14
   -7.4999574052E-15     0.0000000000E+00
    0.0000000000E+00    -7.2311942503E-16
    8.1219179665E-17     0.0000000000E+00
    0.0000000000E+00     9.4581140576E-18
   -1.2634951882E-18     0.0000000000E+00
    0.0000000000E+00    -1.7198984975E-19
    2.6592545613E-20     0.0000000000E+00
    0.0000000000E+00     4.1386159099E-21
   -7.2666607558E-22     0.0000000000E+00
    0.0000000000E+00    -1.2725624359E-22
    2.5004393111E-23     0.0000000000E+00
    0.0000000000E+00     4.8640823543E-24
   -1.0569812607E-24     0.0000000000E+00
    0.0000000000E+00    -2.2606182381E-25
    5.3839050237E-26     0.0000000000E+00
    0.0000000000E+00     1.2559996959E-26
   -3.2535895126E-27     0.0000000000E+00
    0.0000000000E+00    -8.2211125233E-28
    2.3002944349E-28     0.0000000000E+00
    0.0000000000E+00     6.2555947474E-29
   -1.8798923297E-29     0.0000000000E+00
    0.0000000000E+00    -5.4747527137E-30
    1.7593268334E-30     0.0000000000E+00
    0.0000000000E+00     5.4649572201E-31
   -1.8704130628E-31     0.0000000000E+00
    0.0000000000E+00    -6.1730318060E-32
