#  Re[tilde_Omega_n]    Im[tilde_Omega_n]
   -3.5058338170E-05     0.0000000000E+00
    0.0000000000E+00    -7.0116676340E-07
    3.5613110553E-08     0.0000000000E+00
    0.0000000000E+00     1.5758532225E-09
   -1.0476483307E-10     0.0000000000E+00
    0.0000000000E+00    -6.5733725329E-12
    5.5011780254E-13     0.0000000000E+00
    0.0000000000E+00     4.4433491285E-14
   -4.5410420019E-15     0.0000000000E+00
    0.0000000000E+00    -4.4997210582E-16
    5.4709287895E-17     0.0000000000E+00
    0.0000000000E+00     6.4422041188E-18
   -9.1139728590E-19     0.0000000000E+00
    0.0000000000E+00    -1.2451255143E-19
    2.0123397184E-20     0.0000000000E+00
    0.0000000000E+00     3.1309181180E-21
   -5.6980108680E-22     0.0000000000E+00
    0.0000000000E+00    -9.9542598859E-23
    2.0152070360E-23     0.0000000000E+00
    0.0000000000E+00     3.9056160507E-24
   -8.7062143831E-25     0.0000000000E+00
    0.0000000000E+00    -1.8537943603E-25
    4.5143804015E-26     0.0000000000E+00
    0.0000000000E+00     1.0480730417E-26
   -2.7688917395E-27     0.0000000000E+00
